area,sqft,bhk,bathrooms,age_years,price_lakhs
Bachupally,1955,3,2,23,88.95
Kondapur,3509,3,3,24,229.81
LB Nagar,2348,2,2,25,88.32
Kompally,758,3,4,4,42.34
Pocharam,2577,1,1,5,107.38
Pocharam,1556,4,5,16,74.09
Kondapur,2671,4,5,10,185.09
Bowenpally,1003,5,5,15,49.45
Nallagandla,3452,1,1,11,171.15
Madhapur,1115,3,2,14,90.72
Nizampet,3379,4,4,22,161.17
Attapur,1987,1,1,3,79.04
Ameerpet,3179,4,5,26,180.67
Begumpet,1555,3,4,17,103.13
Madhapur,2799,4,4,20,211.43
Begumpet,2312,5,4,27,149.19
Nagole,3594,5,4,2,146.03
Madhapur,1207,4,5,21,100.88
Nagole,3067,1,1,7,116.14
Pocharam,1873,1,1,22,74.89
Attapur,3788,1,1,2,152.34
Madhapur,3513,4,3,7,274.08
Shamshabad,2135,1,2,17,71.9
Begumpet,3225,3,4,9,215.29
Jubilee Hills,2982,5,5,24,268.75
Pocharam,2041,3,4,19,85.84
Miyapur,3579,1,1,16,176.93
Attapur,2397,3,4,7,104.9
LB Nagar,894,1,1,22,38.73
Kondapur,1354,4,4,10,101.11
Hitech City,1994,3,3,28,139.83
Miyapur,785,4,3,4,48.72
LB Nagar,1869,4,3,25,76.65
Miyapur,1236,2,1,12,68.11
LB Nagar,1891,1,1,20,68.56
Shamshabad,3908,5,4,22,134.57
Kondapur,1129,1,2,4,77.82
Madhapur,2668,5,4,23,200.61
Begumpet,3558,1,1,26,215.78
Bowenpally,3514,4,5,12,155.7
Madhapur,1393,3,2,5,106.61
Tellapur,2747,3,3,28,120.52
Nizampet,3399,2,1,4,173.31
Nizampet,1077,5,4,8,64.17
Kompally,2222,5,5,26,96.19
Nizampet,3969,5,5,15,197.34
Attapur,1539,4,4,1,68.85
Pocharam,1125,5,5,0,61.16
Kompally,2981,3,2,7,125.71
Nizampet,601,4,4,27,41.46
Patancheru,974,1,1,18,32.65
Kompally,2940,5,6,29,120.0
Manikonda,3484,5,5,10,203.96
Hitech City,3652,1,1,27,243.13
Manikonda,1152,5,6,11,75.58
Hitech City,2965,1,2,11,215.65
Gachibowli,2125,4,3,6,158.19
Gachibowli,2451,3,4,25,164.7
Nagole,980,1,1,12,42.48
Attapur,2246,2,3,26,88.03
Attapur,613,1,2,7,29.45
Bowenpally,1103,5,4,28,52.28
Kondapur,2878,4,5,28,187.25
Nagole,2608,4,3,21,99.96
Miyapur,3755,1,2,27,172.55
Patancheru,729,3,3,25,32.93
Bowenpally,1437,2,3,29,64.52
Begumpet,3816,4,3,8,251.2
Jubilee Hills,3538,5,6,6,337.59
Kondapur,2640,5,4,25,175.51
Kukatpally,627,3,2,20,38.04
Bachupally,2713,4,4,23,128.33
Nallagandla,3834,1,1,14,187.36
Madhapur,1852,5,4,1,155.84
LB Nagar,860,3,4,22,42.69
Nallagandla,2646,4,3,19,134.51
Tellapur,2072,4,3,24,93.81
Kukatpally,2047,4,5,11,121.04
Pocharam,1059,4,5,0,59.64
Patancheru,900,4,5,22,44.15
Pocharam,3566,5,6,21,149.95
Nizampet,3974,3,2,7,199.84
Kompally,2934,4,3,4,124.45
LB Nagar,3681,2,2,14,144.98
Hitech City,1229,2,1,0,93.38
Jubilee Hills,869,3,4,0,95.06
Manikonda,3239,1,1,24,170.19
LB Nagar,2593,1,2,9,98.86
Gachibowli,2228,1,1,21,148.06
Shamshabad,2401,2,2,9,80.67
Pocharam,3491,1,2,20,143.08
Pocharam,1461,5,5,14,65.64
Patancheru,1880,4,4,16,65.58
Nallagandla,2780,2,1,21,128.48
Nallagandla,3947,3,4,5,204.17
Madhapur,2399,3,3,2,196.63
Tellapur,2306,4,4,12,113.28
Nallagandla,3619,2,3,15,176.74
Attapur,3160,1,1,7,128.15
Ameerpet,2960,1,1,29,159.34
Gachibowli,1175,5,5,14,92.54
Pocharam,3533,5,6,16,151.08
Nallagandla,2603,1,2,16,128.84
Nizampet,1907,3,4,21,88.28
Pocharam,3792,3,4,25,152.88
Tellapur,3778,5,4,12,178.52
Nagole,2556,4,4,16,101.7
Begumpet,3334,1,2,5,218.8
Gachibowli,2620,5,5,16,184.55
Attapur,3875,5,5,15,158.38
Pocharam,2812,1,1,13,117.43
Kondapur,2952,1,2,12,196.81
Miyapur,2255,3,4,5,121.17
Ameerpet,2179,4,4,2,137.69
LB Nagar,2447,4,5,13,104.53
Ameerpet,2803,1,1,13,160.44
Patancheru,1990,2,2,14,64.49
Bachupally,2342,5,4,7,125.39
LB Nagar,2525,5,4,28,96.83
Tellapur,1219,1,1,14,51.75
Shamshabad,1874,2,2,21,66.64
Hitech City,1556,3,4,28,108.25
Miyapur,2539,1,1,26,119.8
Gachibowli,2981,1,2,12,205.48
Kukatpally,1568,5,4,16,90.77
Tellapur,3158,1,1,20,142.85
Nagole,1916,1,1,23,70.41
Pocharam,1643,1,1,2,74.54
Hitech City,881,5,4,27,65.31
Pocharam,3444,3,3,5,149.15
Patancheru,3672,3,4,4,116.23
Madhapur,2766,1,1,21,197.9
Pocharam,1658,5,5,25,78.06
Manikonda,797,3,2,16,50.66
Manikonda,3132,3,3,22,172.02
LB Nagar,1682,3,4,24,68.47
Bachupally,3484,5,6,1,177.14
Attapur,1784,5,5,25,77.84
Miyapur,1608,1,1,14,83.15
Kukatpally,3338,4,4,4,185.81
Kondapur,1829,3,4,25,122.03
Begumpet,1635,4,3,19,110.44
Shamshabad,1089,5,6,5,48.61
Madhapur,875,5,5,5,80.14
Tellapur,3340,5,5,26,159.19
Begumpet,2889,4,5,17,187.45
Kondapur,1839,5,5,17,130.75
Jubilee Hills,1874,1,2,3,177.15
Bowenpally,725,5,5,16,41.81
Patancheru,816,2,1,24,28.56
Bowenpally,3977,4,3,13,174.78
Begumpet,1808,2,2,13,115.17
Begumpet,3710,5,6,12,245.92
Kompally,1846,1,1,6,81.63
Hitech City,3855,3,4,11,281.54
Nizampet,3142,5,5,22,157.18
Kukatpally,3074,1,2,14,162.11
Gachibowli,3849,4,3,18,267.45
Attapur,1518,2,3,10,65.85
Manikonda,1917,2,3,14,107.98
Kondapur,2798,2,2,11,189.96
Hitech City,3031,4,4,2,229.22
Begumpet,2261,1,1,16,140.39
Madhapur,907,4,3,2,79.05
Shamshabad,1959,2,1,18,68.17
Nizampet,2569,5,5,19,127.21
Hitech City,3393,3,3,3,257.6
Pocharam,1491,4,3,2,73.43
Begumpet,974,4,3,25,64.49
Patancheru,3679,1,1,15,109.12
LB Nagar,2633,1,1,11,102.62
Begumpet,1964,4,4,7,134.08
Attapur,728,2,1,23,31.18
Madhapur,1614,3,3,28,117.78
Pocharam,2399,1,2,28,89.68
Nizampet,3316,2,3,16,159.62
Manikonda,1981,5,4,6,122.08
Attapur,1116,1,2,10,48.61
Tellapur,2118,2,3,17,96.43
Bachupally,685,2,3,0,42.48
Kondapur,1798,3,2,2,124.39
Begumpet,3864,3,2,3,261.34
Patancheru,2958,5,6,12,101.85
Hitech City,1742,2,2,5,133.08
Attapur,3889,2,3,25,149.1
Shamshabad,3074,3,2,13,110.94
Jubilee Hills,2593,1,1,4,243.73
Shamshabad,2761,1,1,15,90.39
LB Nagar,3816,4,5,14,157.64
Bachupally,902,3,3,14,47.49
Pocharam,3391,4,3,29,137.85
Jubilee Hills,1187,3,2,3,120.6
Nallagandla,1586,5,6,7,88.34
Begumpet,2463,2,2,26,151.74
Kondapur,944,5,6,15,72.05
Nizampet,1413,3,2,27,68.79
Hitech City,2587,2,2,15,184.73
Tellapur,3448,1,1,29,141.81
Nizampet,3672,1,1,3,181.75
Gachibowli,3818,4,4,12,274.28
Jubilee Hills,1910,3,3,25,172.42
Begumpet,2599,3,4,27,160.55
Nagole,2277,1,1,12,85.28
Miyapur,3724,5,4,1,202.84
Kondapur,1927,2,1,2,139.09
Miyapur,1692,5,4,21,90.79
Bachupally,3008,5,4,7,151.62
Madhapur,3891,1,1,23,280.74
Tellapur,1609,1,2,14,72.54
Manikonda,1303,1,1,10,78.75
Madhapur,1174,4,5,8,94.82
Shamshabad,2208,5,6,6,91.8
Jubilee Hills,3832,3,3,12,352.53
Kondapur,1712,2,1,1,120.85
Kukatpally,1287,4,4,7,73.28
LB Nagar,3428,3,2,6,138.79
Kukatpally,3232,5,5,23,170.31
Nizampet,3236,1,2,11,156.26
Pocharam,3830,5,4,18,163.19
Begumpet,1088,2,3,6,77.88
Gachibowli,3618,4,5,9,261.64
LB Nagar,1947,4,4,28,79.13
Kondapur,3773,2,1,24,236.41
Bachupally,1093,3,4,15,54.81
Nagole,2267,3,3,2,96.85
Nallagandla,2237,4,3,29,107.41
Bowenpally,618,4,3,9,38.75
Nizampet,3044,1,2,5,151.65
Kukatpally,1600,3,2,17,88.12
Madhapur,3950,2,3,17,295.23
Bachupally,1450,3,2,4,77.77
Gachibowli,1988,1,1,20,133.71
Gachibowli,1954,4,5,28,133.96
Jubilee Hills,1967,4,5,6,192.24
Manikonda,1421,1,1,27,76.66
Patancheru,1054,2,1,1,39.62
Manikonda,2224,4,5,10,133.84
Nizampet,3372,5,4,29,161.29
Kukatpally,3736,4,4,12,208.91
Kondapur,3747,5,4,22,247.44
Nallagandla,1310,1,1,4,68.82
Gachibowli,2790,1,1,29,176.08
Bowenpally,1516,4,4,5,67.99
Kondapur,3475,3,3,23,225.59
Kondapur,3252,5,5,25,213.21
Attapur,2096,2,1,28,78.82
Nallagandla,2040,4,4,13,108.44
Hitech City,904,2,1,11,67.6
Tellapur,1335,4,4,3,74.01
Miyapur,2938,3,4,28,143.58
Nagole,2563,3,3,22,93.86
Manikonda,2749,3,4,5,166.43
Manikonda,2609,3,3,9,152.23
Ameerpet,3938,1,1,17,223.83
Manikonda,3514,1,1,14,193.51
Nallagandla,3615,5,6,7,189.88
Attapur,3621,2,3,25,139.23
Begumpet,3489,4,4,8,232.14
Jubilee Hills,1561,4,3,4,155.52
Pocharam,3589,1,1,9,150.4
Jubilee Hills,1626,4,5,19,148.14
LB Nagar,2732,1,1,5,108.31
Jubilee Hills,2975,5,6,15,279.95
Pocharam,3463,2,3,23,139.87
Madhapur,2073,5,6,26,156.56
Nallagandla,3101,3,3,2,166.25
Bowenpally,2547,3,4,9,113.95
Manikonda,3276,3,4,10,186.25
Manikonda,3892,5,5,10,227.8
Attapur,1777,4,5,16,76.98
Ameerpet,1264,2,2,3,77.11
Attapur,611,3,4,3,32.01
Begumpet,1756,3,2,16,115.81
Begumpet,903,3,2,8,63.77
Gachibowli,3964,2,3,18,271.03
Ameerpet,3622,3,2,4,224.48
Attapur,3971,2,2,21,152.88
Manikonda,2363,3,2,23,131.24
Miyapur,3430,5,6,5,185.82
Shamshabad,642,5,6,2,32.47
Pocharam,1543,2,2,21,63.91
Pocharam,2990,5,6,0,139.67
Jubilee Hills,1949,2,2,19,176.58
Shamshabad,3145,5,4,21,117.4
Ameerpet,3011,5,4,15,178.73
Hitech City,1490,2,2,22,104.12
Begumpet,3074,4,4,10,203.81
Jubilee Hills,1604,5,6,12,158.36
Kondapur,620,3,2,26,45.09
Jubilee Hills,1006,4,4,9,104.54
Hitech City,3266,2,1,2,237.48
Patancheru,1614,4,4,8,53.23
Madhapur,935,1,1,27,66.11
Miyapur,2438,1,2,11,127.04
Kondapur,3788,5,4,22,245.16
Miyapur,1747,5,4,13,89.3
Jubilee Hills,3046,3,2,0,296.9
Patancheru,3440,4,3,17,111.6
Begumpet,2427,1,1,16,149.5
Tellapur,1314,5,6,26,65.17
Pocharam,650,4,4,8,33.83
Hitech City,923,5,4,8,77.09
Tellapur,1388,5,6,22,70.23
Shamshabad,740,1,1,9,28.5
Pocharam,1069,1,1,18,37.82
Manikonda,1386,5,5,28,80.74
Kondapur,2425,2,1,14,158.94
Pocharam,1957,5,6,4,94.46
Hitech City,2516,5,6,14,186.71
Bachupally,1563,3,3,19,78.22
Tellapur,3655,3,2,22,158.12
Madhapur,972,3,4,29,74.84
Attapur,3141,2,1,24,121.61
Attapur,2292,2,1,27,92.26
Hitech City,3398,5,4,1,259.94
Hitech City,1779,3,3,12,133.04
Nizampet,2938,2,1,23,132.68
Kondapur,2271,1,2,15,144.42
Shamshabad,3815,5,4,14,138.86
Nizampet,705,4,5,24,41.85
Miyapur,2043,5,4,9,116.06
Manikonda,3317,4,5,13,188.95
Begumpet,2281,3,4,9,154.13
Begumpet,601,4,3,24,48.93
Manikonda,3236,3,2,13,185.08
Pocharam,3291,1,2,25,131.15
Nallagandla,2737,4,4,29,132.62
Nizampet,949,5,4,22,50.05
Bachupally,1886,3,3,8,97.92
Tellapur,3779,5,4,24,169.74
Manikonda,1662,2,1,13,96.44
Nagole,3556,3,2,2,136.24
Jubilee Hills,2806,4,3,19,251.76
Pocharam,3606,3,3,15,156.24
Manikonda,2959,5,4,1,180.77
Nizampet,3912,1,2,9,195.29
Bachupally,1044,3,4,2,57.22
Bachupally,2945,4,4,10,140.3
Hitech City,1551,2,1,10,116.21
Kompally,635,1,2,20,26.16
Hitech City,1707,2,2,20,122.56
Kondapur,2075,3,2,21,137.31
Kondapur,2398,5,6,12,165.96
Manikonda,2445,5,6,6,151.12
Miyapur,2008,4,4,22,109.92
LB Nagar,1795,5,4,16,79.14
Kukatpally,1999,1,1,29,99.35
Patancheru,2308,5,6,1,88.55
Attapur,1985,4,5,11,88.33
Nallagandla,3206,3,4,24,156.03
Manikonda,3538,3,2,9,201.19
Kukatpally,2788,5,5,17,155.0
Patancheru,3534,2,2,21,110.78
Nizampet,3789,3,2,26,173.76
Jubilee Hills,1900,5,5,10,188.34
Nallagandla,3373,4,5,15,171.47
Kondapur,1843,5,5,16,128.31
Bowenpally,3697,3,3,18,160.35
Nallagandla,1120,4,4,17,61.72
Hitech City,2406,5,6,2,190.82
Patancheru,609,1,1,20,19.5
Jubilee Hills,1583,4,5,26,144.6
Patancheru,3025,1,1,25,90.65
Attapur,2256,2,1,15,91.47
Manikonda,2260,4,3,5,131.87
Pocharam,3329,1,1,24,128.9
Bowenpally,3231,3,3,11,145.13
Pocharam,2799,3,2,10,121.31
Kukatpally,1319,2,1,14,70.97
Bowenpally,1672,4,4,14,75.25
Kukatpally,3825,4,5,15,205.05
Miyapur,1458,4,3,9,76.43
Shamshabad,1916,2,3,11,69.26
Bowenpally,2203,4,4,27,94.17
Kukatpally,649,3,2,12,37.67
Gachibowli,3311,1,2,3,238.46
Shamshabad,3178,3,4,6,117.17
Nizampet,3731,3,4,21,183.81
Begumpet,3838,1,1,1,250.82
Madhapur,3873,3,3,25,281.68
Ameerpet,3504,2,3,26,196.21
Nagole,745,1,2,26,26.52
Madhapur,1514,3,3,26,113.22
LB Nagar,3640,5,6,14,148.6
Nizampet,2062,3,4,7,108.38
Bachupally,2889,2,2,6,143.72
Attapur,1180,4,5,14,57.18
Patancheru,3334,3,4,22,106.27
Ameerpet,2184,4,5,13,133.15
Shamshabad,1082,5,5,7,44.6
Begumpet,3779,3,4,27,229.66
Bowenpally,1849,1,1,11,83.09
Jubilee Hills,1272,4,4,12,120.42
LB Nagar,1230,5,4,29,51.56
Nizampet,3308,1,1,10,161.4
Patancheru,1261,1,2,16,38.41
Nagole,3452,1,1,28,116.8
Bowenpally,3066,1,1,16,127.51
LB Nagar,1587,3,4,23,61.93
Ameerpet,3831,3,2,3,230.77
LB Nagar,2146,3,2,20,86.83
Shamshabad,1249,5,5,7,50.72
Kukatpally,1568,5,5,4,92.37
LB Nagar,3237,5,4,25,125.66
Shamshabad,1700,2,1,15,61.56
Patancheru,3156,5,5,3,110.79
Patancheru,1040,3,4,27,36.22
Manikonda,3925,3,3,21,215.54
LB Nagar,1520,2,1,28,53.43
Ameerpet,1369,2,3,14,84.18
Jubilee Hills,1943,5,4,11,188.12
Tellapur,2426,4,5,4,121.17
Attapur,862,2,1,29,37.56
Attapur,2177,1,2,22,81.68
LB Nagar,3284,3,4,15,134.0
Tellapur,3838,1,1,13,173.69
Kompally,3106,3,4,9,132.61
Manikonda,1598,3,3,6,97.31
Attapur,3951,2,1,12,157.75
Nagole,1299,2,2,19,53.26
Jubilee Hills,2949,1,1,27,249.51
Nallagandla,2203,3,4,28,105.56
Attapur,1841,1,2,4,79.96
Pocharam,1725,4,5,28,74.38
Nagole,3201,1,1,2,125.22
Madhapur,2935,5,5,14,231.86
Patancheru,1790,1,1,3,57.89
LB Nagar,3268,5,4,14,135.8
Nagole,1605,5,4,13,65.63
Begumpet,635,5,5,19,52.11
Attapur,1343,4,4,18,60.8
Hitech City,2364,1,1,12,170.02
Jubilee Hills,952,1,1,9,87.87
Manikonda,2522,4,3,20,138.82
Ameerpet,672,3,2,4,47.03
Gachibowli,3295,2,3,26,212.81
Miyapur,1976,1,1,22,95.22
Miyapur,2514,2,3,19,128.55
Attapur,1693,4,3,28,70.52
Nallagandla,3072,3,2,19,155.74
Madhapur,3646,3,4,24,267.35
Jubilee Hills,1307,3,3,5,126.95
Nagole,2404,4,4,3,99.52
Ameerpet,3208,5,5,1,203.09
Manikonda,3475,5,5,21,192.16
Jubilee Hills,1555,2,3,15,141.91
Gachibowli,3164,5,6,17,223.22
Manikonda,3075,5,4,4,181.11
Patancheru,759,3,3,21,29.27
Pocharam,2796,3,3,3,125.06
Kondapur,3423,2,2,29,209.21
Gachibowli,3901,1,2,12,271.5
Attapur,2335,2,2,18,95.23
Jubilee Hills,2185,2,3,22,195.28
Pocharam,666,4,4,1,36.91
Manikonda,3661,4,4,12,212.82
Madhapur,3028,2,1,10,232.24
Gachibowli,657,2,2,29,47.19
Nallagandla,3930,2,2,21,186.13
Nallagandla,941,5,4,28,54.01
Nizampet,1753,4,5,3,99.59
Kompally,3374,2,3,21,133.71
Hitech City,1795,3,3,19,134.88
Shamshabad,3417,3,4,19,116.89
Kondapur,3261,5,5,14,223.99
Patancheru,1832,5,4,3,66.94
Bowenpally,3001,1,1,8,130.68
Nallagandla,2094,1,1,6,102.18
Kompally,2421,1,1,18,95.3
Nagole,715,5,4,18,33.18
Ameerpet,3935,5,5,5,243.22
Miyapur,1261,5,5,5,78.25
Ameerpet,2065,3,2,19,122.2
Jubilee Hills,3100,5,6,14,284.38
Bowenpally,2468,3,4,14,115.32
Attapur,2934,1,1,24,111.78
Kompally,3974,1,1,19,154.58
